Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,11-03-2020,,,,,,,,
Gegevens beschikbaar:,19-02-1976,tot:,31-12-2012,,,,,,,,
Datum: ,11-03-2020,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B38E0108,001,38EP0108,123006,440841,-69,01-01-1976,01-01-1976,31-12-2012,23,92,-1277,-1477


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B38E0108,001,19-02-1976,20,-72,3,,,,,,
B38E0108,001,04-03-1976,40,-52,-17,,,,,,
B38E0108,001,18-03-1976,69,-23,-46,,,,,,
B38E0108,001,01-04-1976,53,-39,-30,,,,,,
B38E0108,001,13-04-1976,77,-15,-54,,,,,,
B38E0108,001,28-04-1976,81,-11,-58,,,,,,
B38E0108,001,18-05-1976,60,-32,-37,,,,,,
B38E0108,001,01-06-1976,64,-28,-41,,,,,,
B38E0108,001,17-06-1976,50,-42,-27,,,,,,
B38E0108,001,02-07-1976,68,-24,-45,,,,,,
B38E0108,001,15-07-1976,67,-25,-44,,,,,,
B38E0108,001,02-08-1976,37,-55,-14,,,,,,
B38E0108,001,17-08-1976,78,-14,-55,,,,,,
B38E0108,001,31-08-1976,32,-60,-9,,,,,,
B38E0108,001,16-09-1976,48,-44,-25,,,,,,
B38E0108,001,30-09-1976,57,-35,-34,,,,,,
