Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,18-03-2020,,,,,,,,
Gegevens beschikbaar:,28-11-1991,tot:,20-08-2019,,,,,,,,
Datum: ,18-03-2020,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B12B0167,003,12BP0167,237050,566360,937,07-11-1991,07-11-1991,03-10-1996,1004,67,-1863,-2063
B12B0167,003,12BP0167,237050,566360,930,03-10-1996,03-10-1996,17-07-2006,1004,74,-1863,-2063
B12B0167,003,12BP0167,237050,566360,925,17-07-2006,17-07-2006,20-08-2019,1001,76,-1863,-2063


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B12B0167,003,28-11-1991,176,109,828,,,,,,
B12B0167,003,13-12-1991,191,124,813,,,,,,
B12B0167,003,27-12-1991,143,76,861,,,,,,
B12B0167,003,14-01-1992,133,66,871,,,,,,
B12B0167,003,28-01-1992,154,87,850,,,,,,
B12B0167,003,14-02-1992,133,66,871,,,,,,
B12B0167,003,28-02-1992,130,63,874,,,,,,
B12B0167,003,13-03-1992,98,31,906,,,,,,
B12B0167,003,27-03-1992,104,37,900,,,,,,
B12B0167,003,14-04-1992,132,65,872,,,,,,
B12B0167,003,28-04-1992,122,55,882,,,,,,
B12B0167,003,14-05-1992,117,50,887,,,,,,
B12B0167,003,27-05-1992,174,107,830,,,,,,
B12B0167,003,15-06-1992,196,129,808,,,,,,
B12B0167,003,29-06-1992,222,155,782,,,,,,
B12B0167,003,14-07-1992,242,175,762,,,,,,
B12B0167,003,28-07-1992,252,185,752,,,,,,
B12B0167,003,14-08-1992,266,199,738,,,,,,
B12B0167,003,28-08-1992,278,211,726,,,,,,
B12B0167,003,14-09-1992,250,183,754,,,,,,
B12B0167,003,28-09-1992,262,195,742,,,,,,
B12B0167,003,14-10-1992,272,205,732,,,,,,
B12B0167,003,28-10-1992,248,181,756,,,,,,
B12B0167,003,13-11-1992,209,142,795,,,,,,
B12B0167,003,27-11-1992,150,83,854,,,,,,
B12B0167,003,14-12-1992,121,54,883,,,,,,
B12B0167,003,28-12-1992,144,77,860,,,,,,
B12B0167,003,14-01-1993,111,44,893,,,,,,
B12B0167,003,28-01-1993,101,34,903,,,,,,
B12B0167,003,15-02-1993,122,55,882,,,,,,
B12B0167,003,01-03-1993,110,43,894,,,,,,
B12B0167,003,15-03-1993,135,68,869,,,,,,
B12B0167,003,29-03-1993,148,81,856,,,,,,
B12B0167,003,14-04-1993,141,74,863,,,,,,
B12B0167,003,28-04-1993,154,87,850,,,,,,
B12B0167,003,14-05-1993,190,123,814,,,,,,
B12B0167,003,28-05-1993,181,114,823,,,,,,
B12B0167,003,14-06-1993,206,139,798,,,,,,
B12B0167,003,28-06-1993,220,153,784,,,,,,
B12B0167,003,14-07-1993,237,170,767,,,,,,
B12B0167,003,28-07-1993,204,137,800,,,,,,
B12B0167,003,13-08-1993,174,107,830,,,,,,
B12B0167,003,27-08-1993,176,109,828,,,,,,
B12B0167,003,14-09-1993,148,81,856,,,,,,
B12B0167,003,28-09-1993,115,48,889,,,,,,
B12B0167,003,14-10-1993,95,28,909,,,,,,
B12B0167,003,28-10-1993,116,49,888,,,,,,
B12B0167,003,15-11-1993,99,32,905,,,,,,
B12B0167,003,29-11-1993,136,69,868,,,,,,
B12B0167,003,14-12-1993,80,13,924,,,,,,
B12B0167,003,14-01-1994,93,26,911,,,,,,
B12B0167,003,28-01-1994,78,11,926,,,,,,
B12B0167,003,14-02-1994,122,55,882,,,,,,
B12B0167,003,28-02-1994,130,63,874,,,,,,
B12B0167,003,14-03-1994,90,23,914,,,,,,
B12B0167,003,28-03-1994,87,20,917,,,,,,
B12B0167,003,14-04-1994,110,43,894,,,,,,
B12B0167,003,28-04-1994,130,63,874,,,,,,
B12B0167,003,16-05-1994,112,45,892,,,,,,
B12B0167,003,14-06-1994,134,67,870,,,,,,
B12B0167,003,28-06-1994,173,106,831,,,,,,
B12B0167,003,14-07-1994,175,108,829,,,,,,
B12B0167,003,28-07-1994,194,127,810,,,,,,
B12B0167,003,15-08-1994,206,139,798,,,,,,
B12B0167,003,29-08-1994,225,158,779,,,,,,
B12B0167,003,14-09-1994,214,147,790,,,,,,
B12B0167,003,28-09-1994,172,105,832,,,,,,
B12B0167,003,14-10-1994,182,115,822,,,,,,
B12B0167,003,28-10-1994,179,112,825,,,,,,
B12B0167,003,14-11-1994,131,64,873,,,,,,
B12B0167,003,28-11-1994,110,43,894,,,,,,
B12B0167,003,14-12-1994,98,31,906,,,,,,
B12B0167,003,02-01-1995,84,17,920,,,,,,
B12B0167,003,13-01-1995,91,24,913,,,,,,
B12B0167,003,27-01-1995,76,9,928,,,,,,
B12B0167,003,14-02-1995,91,24,913,,,,,,
B12B0167,003,27-02-1995,100,33,904,,,,,,
B12B0167,003,14-03-1995,106,39,898,,,,,,
B12B0167,003,28-03-1995,86,19,918,,,,,,
B12B0167,003,13-04-1995,128,61,876,,,,,,
B12B0167,003,27-04-1995,134,67,870,,,,,,
B12B0167,003,15-05-1995,168,101,836,,,,,,
B12B0167,003,29-05-1995,121,54,883,,,,,,
B12B0167,003,14-06-1995,101,34,903,,,,,,
B12B0167,003,28-06-1995,147,80,857,,,,,,
B12B0167,003,14-07-1995,175,108,829,,,,,,
B12B0167,003,28-07-1995,167,100,837,,,,,,
B12B0167,003,14-08-1995,215,148,789,,,,,,
B12B0167,003,28-08-1995,226,159,778,,,,,,
B12B0167,003,14-09-1995,194,127,810,,,,,,
B12B0167,003,28-09-1995,191,124,813,,,,,,
B12B0167,003,13-10-1995,192,125,812,,,,,,
B12B0167,003,27-10-1995,211,144,793,,,,,,
B12B0167,003,14-11-1995,208,141,796,,,,,,
B12B0167,003,28-11-1995,180,113,824,,,,,,
B12B0167,003,15-12-1995,197,130,807,,,,,,
B12B0167,003,28-12-1995,182,115,822,,,,,,
B12B0167,003,15-01-1996,200,133,804,,,,,,
B12B0167,003,29-01-1996,213,146,791,,,,,,
B12B0167,003,14-02-1996,215,148,789,,,,,,
B12B0167,003,28-02-1996,166,99,838,,,,,,
B12B0167,003,14-03-1996,168,101,836,,,,,,
B12B0167,003,28-03-1996,174,107,830,,,,,,
B12B0167,003,15-04-1996,190,123,814,,,,,,
B12B0167,003,29-04-1996,205,138,799,,,,,,
B12B0167,003,14-05-1996,216,149,788,,,,,,
B12B0167,003,28-05-1996,219,152,785,,,,,,
B12B0167,003,13-06-1996,238,171,766,,,,,,
B12B0167,003,27-06-1996,252,185,752,,,,,,
B12B0167,003,15-07-1996,256,189,748,,,,,,
B12B0167,003,29-07-1996,266,199,738,,,,,,
B12B0167,003,14-08-1996,278,211,726,,,,,,
B12B0167,003,28-08-1996,282,215,722,,,,,,
B12B0167,003,13-09-1996,273,206,731,,,,,,
B12B0167,003,27-09-1996,272,205,732,,,,,,
B12B0167,003,14-10-1996,259,185,745,,,,,,
B12B0167,003,28-10-1996,258,184,746,,,,,,
B12B0167,003,14-11-1996,216,142,788,,,,,,
B12B0167,003,28-11-1996,175,101,829,,,,,,
B12B0167,003,13-12-1996,155,81,849,,,,,,
B12B0167,003,27-12-1996,162,88,842,,,,,,
B12B0167,003,13-01-1997,197,123,807,,,,,,
B12B0167,003,28-01-1997,176,102,828,,,,,,
B12B0167,003,14-02-1997,125,51,879,,,,,,
B12B0167,003,28-02-1997,115,41,889,,,,,,
B12B0167,003,14-03-1997,137,63,867,,,,,,
B12B0167,003,27-03-1997,133,59,871,,,,,,
B12B0167,003,14-04-1997,150,76,854,,,,,,
B12B0167,003,28-04-1997,172,98,832,,,,,,
B12B0167,003,14-05-1997,137,63,867,,,,,,
B12B0167,003,28-05-1997,147,73,857,,,,,,
B12B0167,003,13-06-1997,182,108,822,,,,,,
B12B0167,003,27-06-1997,165,91,839,,,,,,
