Format;HydroMonitor - open data exchange file;;;;;;;;;;;;;;
Format Definition;1,0;;;;;;;;;;;;;;
Format Definition;www,menyanthes,nl/hydromonitor_data_exchange_format,pdf;;;;;;;;;;;;;;
Format Type;Excel;;;;;;;;;;;;;;
Format Contents;Header;Metadata;Data;;;;;;;;;;;;
Object Type;ObservationWell;;;;;;;;;;;;;;
Object ID Fields;Name;FilterNo;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Name;NITGCode;OLGACode;FilterNo;StartDateTime;XCoordinate;YCoordinate;SurfaceLevel;WellTopLevel;FilterTopLevel;FilterBottomLevel;WellBottomLevel;LoggerSerial;LoggerDepth;Comment;CommentBy;LoggerBrand;LoggerType
[String];[String];[String];[Integer];[dd-mm-yyyy HH:MM];[m];[m];[m+ref];[m+ref];[m+ref];[m+ref];[m+ref];[String];[-m+welltop];[String];[String];[String];[String]
11250230B801;;foch1-1;;19-01-2007 00:00;221173;555766;0,00;9,90;9,50;8,50;8,50;;;Einddatum 2007-01-20 00:00:00;;Unknown;Unknown;
11250230B802A;;foch2-1;;19-01-2007 00:00;221138;555787;0,00;9,78;9,48;8,48;8,48;;;Einddatum 2007-01-20 00:00:00;;Unknown;Unknown;
11250230B802B;;foch2-2;;19-01-2007 00:00;221138;555787;0,00;9,71;7,16;6,16;6,16;;;Einddatum 2007-01-20 00:00:00;;Unknown;Unknown;
11250230B803;;foch3-1;;19-01-2007 00:00;221063;555833;0,00;9,44;7,09;6,09;6,09;;;Einddatum 2007-01-20 00:00:00;;Unknown;Unknown;
11250230B804;;foch4-1;;19-01-2007 00:00;220978;555885;0,00;9,53;7,12;6,12;6,12;;;Einddatum 2007-01-20 00:00:00;;Unknown;Unknown;
11250230B805;;foch5-1;;19-01-2007 00:00;220892;555937;0,00;9,48;7,19;6,19;6,19;;;Einddatum 2007-01-20 00:00:00;;Unknown;Unknown;
11250230B806;;foch6-1;;19-01-2007 00:00;220962;555657;0,00;9,60;9,09;8,09;8,09;;;Einddatum 2007-01-20 00:00:00;;Unknown;Unknown;
11250230B807;;foch7-1;;19-01-2007 00:00;220772;555020;0,00;10,00;9,50;8,50;8,50;;;Einddatum 2007-01-20 00:00:00;;Unknown;Unknown;
11250230B808A;;foch8-1;;19-01-2007 00:00;220735;555043;0,00;10,03;9,83;8,83;8,83;;;Einddatum 2007-01-20 00:00:00;;Unknown;Unknown;
11250230B808B;;foch8-2;;19-01-2007 00:00;220735;555043;0,00;9,99;6,49;5,49;5,49;;;Einddatum 2007-01-20 00:00:00;;Unknown;Unknown;
11250230B809;;foch9-1;;19-01-2007 00:00;220659;555069;0,00;10,52;10,05;9,05;9,05;;;Einddatum 2007-01-20 00:00:00;;Unknown;Unknown;
11250230B810;;foch10-1;;19-01-2007 00:00;220591;555098;0,00;10,70;10,23;9,23;9,23;;;Einddatum 2007-01-20 00:00:00;;Unknown;Unknown;
11250230B811;;foch11-1;;19-01-2007 00:00;220498;555140;0,00;10,67;10,12;9,12;9,12;;;Einddatum 2007-01-20 00:00:00;;Unknown;Unknown;
11250230B812;;foch12-1;;19-01-2007 00:00;220706;554667;0,00;10,37;9,76;8,76;8,76;;;Einddatum 2007-01-20 00:00:00;;Unknown;Unknown;
11250230B813A;;foch13-1;;19-01-2007 00:00;220716;554584;0,00;11,07;9,94;8,94;8,94;;;Einddatum 2007-01-20 00:00:00;;Unknown;Unknown;
11250230B813B;;foch13-2;;19-01-2007 00:00;220716;554584;0,00;11,02;6,47;5,47;5,47;;;Einddatum 2007-01-20 00:00:00;;Unknown;Unknown;
11250230B814;;foch14-1;;19-01-2007 00:00;220590;554471;0,00;10,18;9,64;8,64;8,64;;;Einddatum 2007-01-20 00:00:00;;Unknown;Unknown;
11250230B815;;foch15-1;;19-01-2007 00:00;219802;554716;0,00;7,68;7,56;6,56;6,56;;;Einddatum 2007-01-20 00:00:00;;Unknown;Unknown;
11250230B816A;;A1-1;;14-10-2009 00:00;220780;559482;0,00;9,11;7,94;7,69;7,69;;;Einddatum 2009-10-31 00:00:00;;Unknown;Unknown;
11250230B816B;;A1-2;;14-10-2009 00:00;220780;559482;0,00;9,08;6,36;5,35;5,35;;;Einddatum 2009-10-31 00:00:00;;Unknown;Unknown;
11250230B817;;A2-1;;13-10-2009 00:00;220755;559541;0,00;8,07;6,17;5,17;5,17;;;Einddatum 2009-10-31 00:00:00;;Unknown;Unknown;
11250230B818A;;A3-1;;13-10-2009 00:00;220742;559564;0,00;8,32;7,68;7,24;7,24;;;Einddatum 2009-10-31 00:00:00;;Unknown;Unknown;
11250230B818B;;A3-2;;13-10-2009 00:00;220742;559564;0,00;8,29;6,28;5,28;5,28;;;Einddatum 2009-10-31 00:00:00;;Unknown;Unknown;
11250230B819A;;A4-1;;13-10-2009 00:00;220673;559657;0,00;8,31;7,95;7,75;7,75;;;Einddatum 2009-10-31 00:00:00;;Unknown;Unknown;
11250230B819B;;A4-2;;13-10-2009 00:00;220673;559657;0,00;8,30;6,34;5,34;5,34;;;Einddatum 2009-10-31 00:00:00;;Unknown;Unknown;
11250230B820A;;A5-1;;13-10-2009 00:00;220653;559666;0,00;9,22;8,17;7,67;7,67;;;Einddatum 2009-10-31 00:00:00;;Unknown;Unknown;
11250230B820B;;A5-2;;13-10-2009 00:00;220653;559666;0,00;9,19;6,43;5,43;5,43;;;Einddatum 2009-10-31 00:00:00;;Unknown;Unknown;
11250230B821A;;B1-1;;09-10-2009 00:00;219767;558824;0,00;8,58;7,40;7,20;7,20;;;Einddatum 2009-10-31 00:00:00;;Unknown;Unknown;
11250230B821B;;B1-2;;09-10-2009 00:00;219767;558824;0,00;8,53;5,88;4,88;4,88;;;Einddatum 2009-10-31 00:00:00;;Unknown;Unknown;
11250230B822A;;B2-1;;09-10-2009 00:00;219730;558883;0,00;7,83;7,48;7,18;7,18;;;Einddatum 2009-10-31 00:00:00;;Unknown;Unknown;
11250230B822B;;B2-2;;09-10-2009 00:00;219730;558883;0,00;7,82;5,65;4,65;4,65;;;Einddatum 2009-10-31 00:00:00;;Unknown;Unknown;
11250230B823A;;B3-1;;09-10-2009 00:00;219720;558899;0,00;7,94;7,65;7,15;7,15;;;Einddatum 2009-10-31 00:00:00;;Unknown;Unknown;
11250230B823B;;B3-2;;09-10-2009 00:00;219720;558899;0,00;7,91;5,91;4,91;4,91;;;Einddatum 2009-10-31 00:00:00;;Unknown;Unknown;
11250230B824A;;B4-1;;09-10-2009 00:00;219680;558960;0,00;7,94;7,48;7,08;7,08;;;Einddatum 2009-10-31 00:00:00;;Unknown;Unknown;
11250230B824B;;B4-2;;09-10-2009 00:00;219680;558960;0,00;7,91;6,06;5,06;5,06;;;Einddatum 2009-10-31 00:00:00;;Unknown;Unknown;
11250230B825A;;B5-1;;09-10-2009 00:00;219634;559029;0,00;7,99;7,58;7,38;7,38;;;Einddatum 2009-10-31 00:00:00;;Unknown;Unknown;
11250230B825B;;B5-2;;09-10-2009 00:00;219634;559029;0,00;7,96;5,63;4,83;4,83;;;Einddatum 2009-10-31 00:00:00;;Unknown;Unknown;
11250230B826A;;C1-1;;15-10-2009 00:00;219468;557679;0,00;7,27;5,81;5,31;5,31;;;Einddatum 2009-10-31 00:00:00;;Unknown;Unknown;
11250230B826B;;C1-2;;15-10-2009 00:00;219468;557679;0,00;7,25;3,98;3,48;3,48;;;Einddatum 2009-10-31 00:00:00;;Unknown;Unknown;
11250230B827A;;C2-1;;15-10-2009 00:00;219326;557623;0,00;7,10;6,18;5,98;5,98;;;Einddatum 2009-10-31 00:00:00;;Unknown;Unknown;
11250230B827B;;C2-2;;15-10-2009 00:00;219326;557623;0,00;7,09;4,45;3,45;3,45;;;Einddatum 2009-10-31 00:00:00;;Unknown;Unknown;
11250230B828A;;C3-1;;16-10-2009 00:00;219235;557584;0,00;6,14;5,62;5,12;5,12;;;Einddatum 2009-10-31 00:00:00;;Unknown;Unknown;
11250230B828B;;C3-2;;16-10-2009 00:00;219235;557584;0,00;6,12;4,21;3,21;3,21;;;Einddatum 2009-10-31 00:00:00;;Unknown;Unknown;
11250230B829A;;C4-1;;16-10-2009 00:00;219219;557573;0,00;6,09;5,41;5,21;5,21;;;Einddatum 2009-10-31 00:00:00;;Unknown;Unknown;
11250230B829B;;C4-2;;16-10-2009 00:00;219219;557573;0,00;6,08;4,18;3,18;3,18;;;Einddatum 2009-10-31 00:00:00;;Unknown;Unknown;
11250230B830A;;C5-1;;16-10-2009 00:00;219163;557557;0,00;5,96;5,40;5,20;5,20;;;Einddatum 2009-10-31 00:00:00;;Unknown;Unknown;
11250230B830B;;C5-2;;16-10-2009 00:00;219163;557557;0,00;5,93;3,99;2,99;2,99;;;Einddatum 2009-10-31 00:00:00;;Unknown;Unknown;
11250230B831A;;C6-1;;16-10-2009 00:00;219039;557508;0,00;5,66;5,10;4,90;4,90;;;Einddatum 2009-10-31 00:00:00;;Unknown;Unknown;
11250230B831B;;C6-2;;16-10-2009 00:00;219039;557508;0,00;5,65;2,70;1,70;1,70;;;Einddatum 2009-10-31 00:00:00;;Unknown;Unknown;
11250230B832A;;D1-1;;12-10-2009 00:00;219930;556800;0,00;8,49;7,28;7,08;7,08;;;Einddatum 2009-10-31 00:00:00;;Unknown;Unknown;
11250230B832B;;D1-2;;12-10-2009 00:00;219930;556800;0,00;8,46;5,64;4,63;4,63;;;Einddatum 2009-10-31 00:00:00;;Unknown;Unknown;
11250230B833A;;D2-1;;12-10-2009 00:00;219848;556773;0,00;8,52;7,38;7,08;7,08;;;Einddatum 2009-10-31 00:00:00;;Unknown;Unknown;
11250230B833B;;D2-2;;12-10-2009 00:00;219848;556773;0,00;8,48;5,66;4,66;4,66;;;Einddatum 2009-10-31 00:00:00;;Unknown;Unknown;
11250230B834A;;D3-1;;12-10-2009 00:00;219827;556769;0,00;8,51;7,56;7,36;7,36;;;Einddatum 2009-10-31 00:00:00;;Unknown;Unknown;
11250230B834B;;D3-2;;12-10-2009 00:00;219827;556769;0,00;8,49;5,80;4,80;4,80;;;Einddatum 2009-10-31 00:00:00;;Unknown;Unknown;
